		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111111010   83  115   93  107  108   90   87   98 10.635837 0.223199 SUCCESS 145
111111100  104  101   93   97  115   90   90   95  6.469788 0.594761 SUCCESS 146
111111110   99   96   87   89  116   90   96  102  7.031679 0.533219 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001   91  101   91   90   85   83  101  103  4.675561 0.791623 SUCCESS   0
000000011   87   98  101   86   89   98   83   93  4.013991 0.855859 SUCCESS   1
000000101   86   95   81   87   70   93   97  101 10.683970 0.220257 SUCCESS   2
000000111   76   97  108  102  101   99   94  109  9.284363 0.318878 SUCCESS   3
000001001   90   89   76   87   76  109  112   88 14.858553 0.061955 SUCCESS   4
000001011   85   97   62   72   73   89   97   94 23.902742 0.002379 FAILURE   5
000001101   89  103   92   83   95  113   90   87  7.227283 0.512321 SUCCESS   6
000001111   81   92  107   96  110   89   88  103  7.961223 0.437267 SUCCESS   7
000010001   97   80   88  102   94   83  101  110  7.980681 0.435360 SUCCESS   8
000010011  102   90   92   94   76   99  101   83  6.846658 0.553264 SUCCESS   9
000010101  102   88   99   83   92   82  107   95  6.259165 0.618227 SUCCESS  10
000010111   89   94   75   92   82   94   88   84  8.151023 0.418859 SUCCESS  11
000011001   96   97   92   80   69   83   88   67 20.046314 0.010162 SUCCESS  12
000011011   94  111  100   80   83  110   90   81 11.913917 0.155086 SUCCESS  13
