		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 94.671875	M = 48480	N = 8	m = 9	n = 387840
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
001001011  103  100   76   99  114   90   97   96  9.478601 0.303542 SUCCESS  33
001001101   93  104   94   95   74   90   93   94  5.929062 0.655178 SUCCESS  34
001001111   85   83   92  109   94  114   84   90 10.398928 0.238135 SUCCESS  35
001010011  110   94   97  100   94   99   84   97  4.453672 0.814050 SUCCESS  36
001010101   91   86   89   87   85   70  104  102 11.171442 0.192173 SUCCESS  37
001010111   84   99   96  109   96   80   83   95  7.570698 0.476487 SUCCESS  38
001011011  108   98   81   92   94  109   95  119 12.895348 0.115501 SUCCESS  39
001011101  101   94  102   87  105   89   83   82  6.430872 0.599085 SUCCESS  40
001011111  109  102   81   96   96  102   91   95  5.644703 0.686961 SUCCESS  41
001100101   97  101  112   93   96   83  106   82  8.470543 0.388905 SUCCESS  42
001100111  112  102   90   91   85   93  105  101  6.907421 0.546653 SUCCESS  43
001101011  104  103  100   87  118   88   89   96  9.462898 0.304762 SUCCESS  44
001101101   83  105  106  102  100  102   94   98  5.664502 0.684754 SUCCESS  45
001101111   87   96   94  103   91   92   98   99  1.975686 0.981748 SUCCESS  46
001110101   77   89   95   89  101   97  109  101  7.292143 0.505466 SUCCESS  47
001110111  113  111  102   90  116   77  107   99 17.652304 0.023990 SUCCESS  48
001111011   96   91   87   86  105   97  100   95  3.166717 0.923463 SUCCESS  49
001111101  112   97   96   90   87   85  101   87  6.342117 0.608968 SUCCESS  50
001111111   92   79   99   78   98  110   94   94  8.699259 0.368298 SUCCESS  51
010000011  103  105   87   82   90   84   84  111  9.958905 0.267922 SUCCESS  52
010000111   89   84  100  118   87  107   93   87 10.827003 0.211695 SUCCESS  53
010001011   82   98   85   92   90   87   77   81  9.309624 0.316853 SUCCESS  54
010001111   92   82  102  104  100  107   92   82  7.171640 0.518232 SUCCESS  55
010010011   80  101  108   88   82  110   86   88 10.844071 0.210692 SUCCESS  56
010010111  105   85   83   99   95   89   87   92  4.953434 0.762541 SUCCESS  57
010011011   93  100   87  103   89   84   91   88  3.970296 0.859793 SUCCESS  58
010011111   97   90   94   87   90   98   98  109  3.668527 0.885724 SUCCESS  59
010100011   91   85  104   98   95  102  101  109  5.508498 0.702098 SUCCESS  60
010100111   90   99  114   91   98   80  104  112 11.374215 0.181384 SUCCESS  61
